LOCATION,Date,TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,STATUS
STL,"Saturday, January 22, 2022",8:35 PM,WN2914,St. Louis (STL),Southwest Airlines,B738 (N8572X),Landed 8:12 PM
SLC,"Saturday, January 22, 2022",9:00 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N296SY),Landed 8:34 PM
MSP,"Saturday, January 22, 2022",9:15 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ7 (N340CA),Landed 9:16 PM
ORD,"Saturday, January 22, 2022",9:55 PM,UA1802,Chicago (ORD),United Airlines,B738 (N37273),Landed 9:36 PM
DCA,"Saturday, January 22, 2022",10:00 PM,AA4770,Washington (DCA),Republic Airways,E75S (N401YX),Landed 9:37 PM
DTW,"Saturday, January 22, 2022",10:18 PM,DL4883,Detroit (DTW),Delta Connection,CRJ7 (N331CA),Landed 10:20 PM
ATL,"Saturday, January 22, 2022",10:39 PM,DL4680,Atlanta (ATL),Delta Connection,CRJ9 (N181PQ),Landed 10:27 PM
IAH,"Saturday, January 22, 2022",10:39 PM,UA6330,Houston (IAH),United Express,E75L (N86309),Landed 10:12 PM
DFW,"Saturday, January 22, 2022",11:42 PM,AA1371,Dallas (DFW),American Airlines,A320 (N103US),Landed 1:40 AM
PHX,"Saturday, January 22, 2022",11:56 PM,AA568,Phoenix (PHX),American Airlines,A320 (N667AW),Landed 11:39 PM
MIA,"Sunday, January 23, 2022",12:09 AM,AA3558,Miami (MIA),American Eagle,E75L (N216NN),Landed 12:16 AM
AFW,"Sunday, January 23, 2022",2:22 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N967AZ),Landed 2:10 AM
BNA,"Sunday, January 23, 2022",8:54 AM,G4571,Nashville (BNA),Allegiant Air,A319 (N322NV),Landed 8:49 AM
DFW,"Sunday, January 23, 2022",9:01 AM,AA3953,Dallas (DFW),American Eagle,E75L (N274NN),Landed 8:43 AM
DTW,"Sunday, January 23, 2022",9:35 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N308PQ),Landed 10:09 AM
ORD,"Sunday, January 23, 2022",9:46 AM,AA3259,Chicago (ORD),American Eagle,CRJ7 (N612QX),Landed 12:19 PM
ORD,"Sunday, January 23, 2022",10:44 AM,UA5323,Chicago (ORD),United Express,E75L (N166SY),Landed 11:08 AM
ATL,"Sunday, January 23, 2022",11:04 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N940AT),Landed 10:48 AM
MSP,"Sunday, January 23, 2022",11:44 AM,DL4863,Minneapolis (MSP),Delta Connection,CRJ7 (N317CA),Landed 11:21 AM
ASE,"Sunday, January 23, 2022",11:54 AM,1I353,Aspen (ASE),NetJets,E55P (N353QS),Landed 11:58 AM
SUS,"Sunday, January 23, 2022",11:58 AM,,St. Louis (SUS),Frontier,HDJT (N520ST),Landed 11:11 AM
DFW,"Sunday, January 23, 2022",12:12 PM,AA3123,Dallas (DFW),American Eagle,CRJ7 (N764SK),Landed 12:03 PM
DEN,"Sunday, January 23, 2022",12:43 PM,UA5254,Denver (DEN),United Express,CRJ2 (N958SW),Landed 12:22 PM
CLT,"Sunday, January 23, 2022",1:12 PM,AA3955,Charlotte (CLT),American Eagle,E75L (N203NN),Landed 12:46 PM
LAS,"Sunday, January 23, 2022",1:48 PM,G4811,Las Vegas (LAS),Allegiant Air,A320 (N279NV),Landed 1:49 PM
PHX,"Sunday, January 23, 2022",2:22 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N752US),Landed 2:15 PM
ORD,"Sunday, January 23, 2022",2:39 PM,AA3240,Chicago (ORD),American Eagle,CRJ7 (N612QX),Landed 4:37 PM
HOU,"Sunday, January 23, 2022",2:43 PM,G4591,Houston (HOU),Allegiant Air,A319 (N322NV),Landed 2:29 PM
IAH,"Sunday, January 23, 2022",2:47 PM,UA6188,Houston (IAH),United Express,E75L (N88326),Landed 2:27 PM
SRQ,"Sunday, January 23, 2022",3:05 PM,G4848,Sarasota (SRQ),Allegiant Air,A320 (N262NV),Landed 3:26 PM
BZN,"Sunday, January 23, 2022",3:07 PM,,Bozeman (BZN),Frontier,M600 (N600JA),Landed 3:07 PM
DEN,"Sunday, January 23, 2022",3:10 PM,WN1171,Denver (DEN),Southwest Airlines,B737 (N956WN),Landed 2:57 PM
CLT,"Sunday, January 23, 2022",3:18 PM,AA5679,Charlotte (CLT),American Eagle,CRJ9 (N599NN),Landed 3:00 PM
OMA,"Sunday, January 23, 2022",3:27 PM,,Omaha (OMA),Frontier,(N850PR),Landed 3:35 PM
ORD,"Sunday, January 23, 2022",3:28 PM,UA5508,Chicago (ORD),United Express,E75L (N135SY),Landed 3:13 PM
SDF,"Sunday, January 23, 2022",4:09 PM,5X514,Louisville (SDF),UPS,B763 (N327UP),Landed 4:32 PM
DEN,"Sunday, January 23, 2022",4:21 PM,UA4763,Denver (DEN),United Express,CRJ2 (N973SW),Landed 4:08 PM
DFW,"Sunday, January 23, 2022",4:26 PM,AA560,Dallas (DFW),American Airlines,A319 (N757UW),Landed 4:05 PM
CMH,"Sunday, January 23, 2022",4:45 PM,,Columbus (CMH),Frontier,BE40 (N777G),Landed 2:18 PM
MSP,"Sunday, January 23, 2022",4:46 PM,DL5307,Minneapolis (MSP),Delta Connection,CRJ9 (N337PQ),Landed 4:55 PM
ORD,"Sunday, January 23, 2022",4:48 PM,AA4146,Chicago (ORD),American Eagle,E75L (N209NN),Landed 5:30 PM
DTW,"Sunday, January 23, 2022",5:01 PM,DL4760,Detroit (DTW),Delta Connection,CRJ7 (N371CA),Landed 4:58 PM
LAS,"Sunday, January 23, 2022",5:20 PM,WN2129,Las Vegas (LAS),Southwest Airlines,B737 (N7737E),Landed 5:21 PM
PSP,"Sunday, January 23, 2022",5:26 PM,G4822,Palm Springs (PSP),Allegiant Air,A320 (N298NV),Landed 5:35 PM
DCA,"Sunday, January 23, 2022",5:30 PM,AA4914,Washington (DCA),American Eagle,E75S (N133HQ),Landed 5:19 PM
ATL,"Sunday, January 23, 2022",5:34 PM,DL2537,Atlanta (ATL),Delta Air Lines,A320 (N359NW),Landed 6:08 PM
DEN,"Sunday, January 23, 2022",6:01 PM,F9470,Denver (DEN),Frontier,A20N (N341FR),Landed 5:47 PM
MEM,"Sunday, January 23, 2022",6:36 PM,FX534,Memphis (MEM),FedEx,A306 (N728FD),Landed 8:11 PM
PUB,"Sunday, January 23, 2022",7:05 PM,,Pueblo (PUB),Frontier,B350 (N864CA),Landed 7:09 PM
DEN,"Sunday, January 23, 2022",8:33 PM,UA465,Denver (DEN),United Airlines,B739 (N68842),Landed 8:30 PM
LGA,"Sunday, January 23, 2022",8:49 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N922XJ),Landed 8:27 PM
SLC,"Sunday, January 23, 2022",9:00 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N308SY),Landed 9:04 PM
MSP,"Sunday, January 23, 2022",9:15 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ9 (N337PQ),Landed 9:15 PM
PGD,"Sunday, January 23, 2022",9:25 PM,G4827,Punta Gorda (PGD),Allegiant Air,A320 (N279NV),Landed 10:03 PM
ORD,"Sunday, January 23, 2022",9:36 PM,AA3697,Chicago (ORD),American Eagle,E170 (N764JD),Landed 9:42 PM
ORD,"Sunday, January 23, 2022",9:45 PM,UA1802,Chicago (ORD),United Airlines,B738 (N24212),Landed 10:00 PM
DCA,"Sunday, January 23, 2022",10:00 PM,AA4770,Washington (DCA),American Eagle,E75S (N138HQ),Landed 10:45 PM
DTW,"Sunday, January 23, 2022",10:18 PM,DL4883,Detroit (DTW),Delta Connection,CRJ9 (N349PQ),Landed 9:53 PM
SFB,"Sunday, January 23, 2022",10:25 PM,G4851,Orlando (SFB),Allegiant Air,A320 (N262NV),Landed 11:20 PM
STL,"Sunday, January 23, 2022",10:30 PM,WN1952,St. Louis (STL),Southwest Airlines,B738 (N8673F),Landed 10:40 PM
ATL,"Sunday, January 23, 2022",10:39 PM,DL4680,Atlanta (ATL),Delta Connection,CRJ9 (N306PQ),Landed 10:25 PM
IAH,"Sunday, January 23, 2022",10:39 PM,UA6330,Houston (IAH),United Express,E75L (N86372),Landed 10:16 PM
AUS,"Sunday, January 23, 2022",11:17 PM,G4812,Austin (AUS),Allegiant Air,A320 (N298NV),Landed 11:13 PM
PHX,"Sunday, January 23, 2022",11:56 PM,AA568,Phoenix (PHX),American Airlines,A320 (N111US),Landed 11:35 PM
DFW,"Monday, January 24, 2022",12:01 AM,AA1371,Dallas (DFW),American Airlines,A320 (N656AW),Landed 11:37 PM
MIA,"Monday, January 24, 2022",12:09 AM,AA3558,Miami (MIA),American Eagle,E75L (N230NN),Landed 12:51 AM
CLT,"Monday, January 24, 2022",12:20 AM,AA825,Charlotte (CLT),American Airlines,A319 (N725UW),Landed 11:51 PM
AFW,"Monday, January 24, 2022",2:07 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N919AZ),Landed 1:54 AM
DFW,"Monday, January 24, 2022",9:01 AM,AA3953,Dallas (DFW),American Eagle,E75L (N269NN),Landed 8:46 AM
DTW,"Monday, January 24, 2022",9:35 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N307PQ),Landed 9:14 AM
ORF,"Monday, January 24, 2022",9:54 AM,1I501,Norfolk (ORF),NetJets,C68A,Unknown
LNS,"Monday, January 24, 2022",10:10 AM,,Lancaster (LNS),Frontier,BE20 (N524MR),Diverted to MLI
ORD,"Monday, January 24, 2022",10:44 AM,UA5323,Chicago (ORD),United Express,E75L (N213SY),Landed 11:00 AM
ATL,"Monday, January 24, 2022",11:04 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N965AT),Landed 10:45 AM
MSP,"Monday, January 24, 2022",11:44 AM,DL4863,Minneapolis (MSP),Delta Connection,CRJ9 (N903XJ),Landed 11:29 AM
DFW,"Monday, January 24, 2022",12:12 PM,AA3123,Dallas (DFW),American Eagle,CRJ7 (N656CA),Landed 11:56 AM
DEN,"Monday, January 24, 2022",12:43 PM,UA5254,Denver (DEN),United Express,CRJ2 (N869AS),Landed 12:24 PM
APA,"Monday, January 24, 2022",1:05 PM,,Denver (APA),Frontier,P46T (N262ST),Landed 1:48 PM
CLT,"Monday, January 24, 2022",1:12 PM,AA3955,Charlotte (CLT),American Eagle,E75L (N254NN),Landed 1:02 PM
PWK,"Monday, January 24, 2022",1:12 PM,1I391,Chicago (PWK),NetJets,E55P,Unknown
MCO,"Monday, January 24, 2022",2:19 PM,F91067,Orlando (MCO),Frontier,A20N (N342FR),Landed 2:42 PM
PHX,"Monday, January 24, 2022",2:22 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N830AW),Landed 2:08 PM
ORD,"Monday, January 24, 2022",2:39 PM,AA3240,Chicago (ORD),SkyWest Airlines,CRJ7 (N767SK),Landed 6:37 PM
IAH,"Monday, January 24, 2022",2:47 PM,UA6188,Houston (IAH),United Express,E75L (N85323),Landed 2:31 PM
DEN,"Monday, January 24, 2022",3:10 PM,WN1171,Denver (DEN),Southwest Airlines,B737 (N246LV),Landed 2:56 PM
CLT,"Monday, January 24, 2022",3:18 PM,AA5679,Charlotte (CLT),American Eagle,CRJ9 (N555NN),Landed 3:11 PM
ORD,"Monday, January 24, 2022",3:28 PM,UA5508,Chicago (ORD),United Express,E75L (N161SY),Landed 4:40 PM
FLL,"Monday, January 24, 2022",3:37 PM,G4818,Fort Lauderdale (FLL),Allegiant Air,A320 (N298NV),Landed 3:49 PM
LAX,"Monday, January 24, 2022",3:40 PM,G4824,Los Angeles (LAX),Allegiant Air,A320 (N279NV),Landed 3:21 PM
LAS,"Monday, January 24, 2022",3:50 PM,F91958,Las Vegas (LAS),Frontier,A20N (N362FR),Landed 3:52 PM
DEN,"Monday, January 24, 2022",4:21 PM,UA4763,Denver (DEN),United Express,CRJ2 (N443SW),Landed 3:55 PM
DFW,"Monday, January 24, 2022",4:26 PM,AA560,Dallas (DFW),American Airlines,A319 (N778XF),Landed 4:10 PM
LAS,"Monday, January 24, 2022",4:31 PM,G4832,Las Vegas (LAS),Allegiant Air,A320 (N262NV),Landed 4:42 PM
MSP,"Monday, January 24, 2022",4:46 PM,DL5307,Minneapolis (MSP),Delta Connection,CRJ9 (N331PQ),Landed 4:55 PM
DTW,"Monday, January 24, 2022",5:01 PM,DL4760,Detroit (DTW),Delta Connection,CRJ7 (N340CA),Landed 4:50 PM
MSP,"Monday, January 24, 2022",5:14 PM,SY8650,Minneapolis (MSP),Sun Country Airlines,B738 (N805SY),Landed 4:47 PM
LAS,"Monday, January 24, 2022",5:20 PM,WN2129,Las Vegas (LAS),Southwest Airlines,B737 (N442WN),Landed 5:02 PM
MSP,"Monday, January 24, 2022",5:24 PM,1I650,Minneapolis (MSP),NetJets,C68A (N650QS),Landed 4:38 PM
DCA,"Monday, January 24, 2022",5:30 PM,AA4914,Washington (DCA),American Eagle,E75S (N404YX),Landed 5:12 PM
ATL,"Monday, January 24, 2022",5:34 PM,DL2537,Atlanta (ATL),Delta Air Lines,A320 (N334NW),Landed 5:46 PM
APA,"Monday, January 24, 2022",6:00 PM,1I361,Denver (APA),NetJets,C680 (N361QS),Landed 5:25 PM
ORD,"Monday, January 24, 2022",6:46 PM,AA4146,Chicago (ORD),American Eagle,E170 (N763CC),Landed 8:25 PM
DEN,"Monday, January 24, 2022",8:33 PM,UA465,Denver (DEN),United Airlines,B739 (N68843),Landed 8:20 PM
LGA,"Monday, January 24, 2022",8:49 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N925XJ),Landed 8:18 PM
MSP,"Monday, January 24, 2022",9:15 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ7 (N367CA),Landed 9:25 PM
ORD,"Monday, January 24, 2022",9:55 PM,UA1802,Chicago (ORD),United Airlines,B738 (N37263),Landed 9:49 PM
DCA,"Monday, January 24, 2022",10:00 PM,AA4770,Washington (DCA),American Eagle,E75S (N123HQ),Landed 9:44 PM
DTW,"Monday, January 24, 2022",10:18 PM,DL4883,Detroit (DTW),Delta Connection,CRJ9 (N928XJ),Landed 10:09 PM
STL,"Monday, January 24, 2022",10:30 PM,WN1952,St. Louis (STL),Southwest Airlines,B738 (N8567Z),Landed 10:30 PM
ATL,"Monday, January 24, 2022",10:39 PM,DL4680,Atlanta (ATL),Delta Connection,CRJ9 (N304PQ),Landed 10:23 PM
IAH,"Monday, January 24, 2022",10:39 PM,UA6330,Houston (IAH),United Express,E75L (N93305),Landed 10:21 PM
PIE,"Monday, January 24, 2022",10:44 PM,G4808,St. Petersburg (PIE),Allegiant Air,A320 (N279NV),Landed 10:50 PM
AZA,"Monday, January 24, 2022",11:21 PM,G4813,Phoenix (AZA),Allegiant Air,A320 (N298NV),Landed 11:12 PM
DFW,"Monday, January 24, 2022",11:42 PM,AA1371,Dallas (DFW),American Airlines,A320 (N655AW),Landed 11:22 PM
PHX,"Monday, January 24, 2022",11:56 PM,AA568,Phoenix (PHX),American Airlines,A320 (N660AW),Landed 11:28 PM
MIA,"Tuesday, January 25, 2022",12:09 AM,AA3558,Miami (MIA),American Eagle,E75L (N261NN),Landed 11:53 PM
AFW,"Tuesday, January 25, 2022",2:22 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N929AZ),Landed 2:22 AM
MEM,"Tuesday, January 25, 2022",5:58 AM,FX1500,Memphis (MEM),FedEx,A306 (N655FE),Landed 7:02 AM
CID,"Tuesday, January 25, 2022",6:01 AM,5X514,Cedar Rapids (CID),UPS,B763 (N377UP),Landed 6:32 AM
BKX,"Tuesday, January 25, 2022",7:38 AM,,Brookings (BKX),Frontier,BE9L (N81SU),Landed 7:11 AM
HYS,"Tuesday, January 25, 2022",7:42 AM,OO2919,Hays (HYS),United Express,CRJ2 (N468CA),Landed 12:29 PM
BKX,"Tuesday, January 25, 2022",7:38 AM,,Brookings (BKX),Frontier,BE9L (N81SU),Landed 7:11 AM
DVN,"Tuesday, January 25, 2022",8:16 AM,,Davenport (DVN),Frontier,B350 (N864CA),Landed 8:08 AM
DTW,"Tuesday, January 25, 2022",9:35 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N295PQ),Landed 9:19 AM
CWA,"Tuesday, January 25, 2022",10:00 AM,,Wausau (CWA),Frontier,S22T (N72AD),Landed 10:10 AM
ORD,"Tuesday, January 25, 2022",10:44 AM,UA5323,Chicago (ORD),United Express,E75L (N132SY),Landed 10:38 AM
ATL,"Tuesday, January 25, 2022",11:04 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N607AT),Landed 10:43 AM
MSP,"Tuesday, January 25, 2022",11:39 AM,DL3918,Minneapolis (MSP),Delta Connection,E75L (N240SY),Landed 11:17 AM
DFW,"Tuesday, January 25, 2022",12:12 PM,AA3123,Dallas (DFW),Delta Connection,CRJ7 (N611SK),Landed 11:48 AM
DEN,"Tuesday, January 25, 2022",12:43 PM,UA5254,Denver (DEN),United Airlines,CRJ,Canceled
CLT,"Tuesday, January 25, 2022",1:12 PM,AA3955,Charlotte (CLT),American Eagle,E75L (N286NN),Landed 12:54 PM
PHX,"Tuesday, January 25, 2022",2:22 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N807AW),Landed 2:02 PM
ORD,"Tuesday, January 25, 2022",2:39 PM,AA3240,Chicago (ORD),SkyWest Airlines,CRJ7 (N768SK),Landed 4:07 PM
IAH,"Tuesday, January 25, 2022",2:47 PM,UA6188,Houston (IAH),United Express,E75L (N89342),Landed 2:37 PM
DEN,"Tuesday, January 25, 2022",3:10 PM,WN1750,Denver (DEN),Southwest Airlines,B737 (N786SW),Landed 3:12 PM
CLT,"Tuesday, January 25, 2022",3:18 PM,AA5679,Charlotte (CLT),American Eagle,CRJ9 (N590NN),Landed 3:19 PM
ROG,"Tuesday, January 25, 2022",3:23 PM,,Rogers (ROG),Frontier,BE30 (N6812W),Landed 3:46 PM
FOE,"Tuesday, January 25, 2022",3:25 PM,AA9755,Topeka (FOE),American Eagle,E145 (N942LL),Landed 7:08 PM
ORD,"Tuesday, January 25, 2022",3:28 PM,UA5508,Chicago (ORD),United Express,E75L (N108SY),Landed 4:36 PM
JCI,"Tuesday, January 25, 2022",3:28 PM,,Kansas City (JCI),Frontier,C425 (N707CB),Unknown
DEN,"Tuesday, January 25, 2022",4:21 PM,UA4763,Denver (DEN),United Express,CRJ2 (N956SW),Landed 4:38 PM
LEX,"Tuesday, January 25, 2022",4:36 PM,,Lexington (LEX),Frontier,PA46 (N711CP),Diverted to LEX
DTW,"Tuesday, January 25, 2022",5:00 PM,DL4760,Detroit (DTW),Delta Connection,CRJ7 (N368CA),Landed 5:09 PM
LAS,"Tuesday, January 25, 2022",5:20 PM,WN2129,Las Vegas (LAS),Southwest Airlines,B737 (N256WN),Landed 5:06 PM
DCA,"Tuesday, January 25, 2022",5:30 PM,AA4914,Washington (DCA),American Eagle,E75S (N103HQ),Landed 6:42 PM
ATL,"Tuesday, January 25, 2022",5:34 PM,DL2537,Atlanta (ATL),Delta Air Lines,A320 (N373NW),Landed 5:11 PM
SPW,"Tuesday, January 25, 2022",5:44 PM,,Spencer (SPW),Frontier,PAY2 (N302TA),Landed 6:11 PM
MEM,"Tuesday, January 25, 2022",6:41 PM,FX718,Memphis (MEM),FedEx,A306 (N655FE),Landed 6:08 PM
ORD,"Tuesday, January 25, 2022",6:46 PM,AA4146,Chicago (ORD),American Eagle,E75L (N279MQ),Landed 6:24 PM
MSP,"Tuesday, January 25, 2022",7:00 PM,SY8661,Minneapolis (MSP),Sun Country Airlines,B738 (N821SY),Landed 7:01 PM
DEN,"Tuesday, January 25, 2022",8:33 PM,UA465,Denver (DEN),United Airlines,B739 (N81449),Landed 8:43 PM
LGA,"Tuesday, January 25, 2022",8:49 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N916XJ),Landed 8:28 PM
MSP,"Tuesday, January 25, 2022",9:15 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ7 (N317CA),Landed 9:05 PM
ORD,"Tuesday, January 25, 2022",9:55 PM,UA1802,Chicago (ORD),United Airlines,B739 (N61887),Landed 9:45 PM
DCA,"Tuesday, January 25, 2022",10:00 PM,AA4770,Washington (DCA),American Eagle,E75S (N132HQ),Landed 9:39 PM
DTW,"Tuesday, January 25, 2022",10:18 PM,DL4883,Detroit (DTW),Delta Connection,CRJ9 (N931XJ),Landed 10:04 PM
MSP,"Tuesday, January 25, 2022",10:26 PM,SY8651,Minneapolis (MSP),Sun Country Airlines,B738 (N808SY),Landed 10:16 PM
STL,"Tuesday, January 25, 2022",10:30 PM,WN1952,St. Louis (STL),Southwest Airlines,B738 (N8653A),Landed 10:01 PM
ATL,"Tuesday, January 25, 2022",10:39 PM,DL4680,Atlanta (ATL),Delta Connection,CRJ9 (N538CA),Landed 10:23 PM
IAH,"Tuesday, January 25, 2022",10:39 PM,UA6330,Houston (IAH),United Express,E75L (N89308),Landed 10:45 PM
SEA,"Tuesday, January 25, 2022",11:09 PM,,Seattle (SEA),Frontier,C56X (N12AM),Unknown
DFW,"Tuesday, January 25, 2022",11:42 PM,AA1371,Dallas (DFW),American Airlines,A320 (N649AW),Landed 11:14 PM
PHX,"Tuesday, January 25, 2022",11:56 PM,AA568,Phoenix (PHX),American Airlines,A320 (N663AW),Landed 11:33 PM
MIA,"Wednesday, January 26, 2022",12:09 AM,AA3558,Miami (MIA),American Eagle,E75L (N228NN),Landed 11:59 PM
AFW,"Wednesday, January 26, 2022",2:19 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N919AZ),Landed 2:07 AM
CID,"Wednesday, January 26, 2022",6:01 AM,5X514,Cedar Rapids (CID),UPS,B763 (N335UP),Landed 6:27 AM
MEM,"Wednesday, January 26, 2022",6:21 AM,FX1500,Memphis (MEM),FedEx,A306 (N724FD),Landed 6:57 AM
MIE,"Wednesday, January 26, 2022",8:52 AM,,Muncie (MIE),Frontier,TBM9 (N449MA),Landed 9:11 AM
TEB,"Wednesday, January 26, 2022",9:25 AM,OKC904,Teterboro (TEB),Private Jets,E35L (N904FL),Landed 9:57 AM
DTW,"Wednesday, January 26, 2022",9:35 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N181GJ),Landed 8:57 AM
ORD,"Wednesday, January 26, 2022",10:44 AM,UA5323,Chicago (ORD),United Express,E75L (N623UX),Landed 10:37 AM
ATL,"Wednesday, January 26, 2022",11:20 AM,DL4698,Atlanta (ATL),Delta Connection,CRJ9 (N187GJ),Landed 11:02 AM
DVN,"Wednesday, January 26, 2022",11:31 AM,,Davenport (DVN),Frontier,B350 (N864CA),Landed 11:29 AM
MSP,"Wednesday, January 26, 2022",11:39 AM,DL3918,Minneapolis (MSP),Delta Connection,CRJ9 (N832SK),Landed 11:17 AM
DFW,"Wednesday, January 26, 2022",12:12 PM,AA3123,Dallas (DFW),American Airlines,CRJ7 (N870DC),Landed 11:44 AM
DEN,"Wednesday, January 26, 2022",12:43 PM,UA5254,Denver (DEN),United Express,CRJ2 (N912SW),Landed 12:19 PM
HAI,"Wednesday, January 26, 2022",1:12 PM,,Three Rivers (HAI),Frontier,PA46 (N9121X),Diverted to HAI
PSM,"Wednesday, January 26, 2022",1:57 PM,CNS28,Portsmouth (PSM),PlaneSense,PC24 (N154AF),Landed 1:33 PM
IOW,"Wednesday, January 26, 2022",2:08 PM,,Iowa City (IOW),Frontier,PC12 (N32WK),Landed 2:40 PM
PHX,"Wednesday, January 26, 2022",2:22 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N742PS),Landed 2:08 PM
ORD,"Wednesday, January 26, 2022",2:39 PM,AA3240,Chicago (ORD),Delta Connection,CRJ7 (N614SK),Landed 2:23 PM
IAH,"Wednesday, January 26, 2022",2:47 PM,UA6188,Houston (IAH),United Express,E75L (N87339),Landed 2:21 PM
FSD,"Wednesday, January 26, 2022",2:48 PM,,Sioux Falls (FSD),Frontier,PC12 (N821CT),Landed 2:48 PM
DEN,"Wednesday, January 26, 2022",3:10 PM,WN1750,Denver (DEN),Southwest Airlines,B737 (N243WN),Landed 2:51 PM
CLT,"Wednesday, January 26, 2022",3:18 PM,AA5679,Charlotte (CLT),American Eagle,CRJ9 (N586NN),Landed 3:09 PM
ORD,"Wednesday, January 26, 2022",3:28 PM,UA5508,Chicago (ORD),United Express,E75L (N113SY),Landed 3:14 PM
DEN,"Wednesday, January 26, 2022",4:21 PM,UA4763,Denver (DEN),United Express,CRJ2 (N906EV),Landed 3:54 PM
DFW,"Wednesday, January 26, 2022",4:26 PM,AA560,Dallas (DFW),American Airlines,A319 (N775XF),Landed 4:39 PM
DTW,"Wednesday, January 26, 2022",5:00 PM,DL4760,Detroit (DTW),Delta Connection,CRJ7 (N655CA),Landed 4:36 PM
LAS,"Wednesday, January 26, 2022",5:20 PM,WN2129,Las Vegas (LAS),Southwest Airlines,B737 (N760SW),Landed 5:10 PM
DCA,"Wednesday, January 26, 2022",5:30 PM,AA4914,Washington (DCA),American Eagle,E75S (N130HQ),Landed 4:57 PM
ATL,"Wednesday, January 26, 2022",5:34 PM,DL2537,Atlanta (ATL),Delta Air Lines,A320 (N352NW),Landed 5:31 PM
SBS,"Wednesday, January 26, 2022",6:14 PM,,Steamboat Springs (SBS),Frontier,SR22 (N815DB),Landed 6:03 PM
AZO,"Wednesday, January 26, 2022",6:18 PM,,Kalamazoo (AZO),Frontier,BE36 (N44DA),Unknown
MEM,"Wednesday, January 26, 2022",6:22 PM,FX718,Memphis (MEM),FedEx,A306 (N676FE),Landed 6:09 PM
APF,"Wednesday, January 26, 2022",6:35 PM,FTH513,Naples (APF),Mountain Aviation,C750 (N513JB),Landed 6:28 PM
ORD,"Wednesday, January 26, 2022",6:46 PM,AA4146,Chicago (ORD),American Eagle,E75L (N216NN),Landed 6:24 PM
DFW,"Wednesday, January 26, 2022",8:30 PM,AA9881,Dallas (DFW),American Eagle,E145 (N942LL),Landed 8:15 PM
DEN,"Wednesday, January 26, 2022",8:33 PM,UA465,Denver (DEN),United Airlines,B739 (N37420),Landed 8:19 PM
LGA,"Wednesday, January 26, 2022",8:49 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N925XJ),Landed 8:13 PM
SLC,"Wednesday, January 26, 2022",9:00 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N307SY),Landed 8:30 PM
MSP,"Wednesday, January 26, 2022",9:15 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ7 (N331CA),Landed 9:02 PM
ORD,"Wednesday, January 26, 2022",9:55 PM,UA1802,Chicago (ORD),United Airlines,B739 (N38424),Landed 9:39 PM
DCA,"Wednesday, January 26, 2022",10:00 PM,AA4770,Washington (DCA),American Eagle,E75S (N109HQ),Landed 9:18 PM
DTW,"Wednesday, January 26, 2022",10:18 PM,DL4883,Detroit (DTW),Delta Connection,CRJ9 (N310PQ),Landed 9:44 PM
STL,"Wednesday, January 26, 2022",10:30 PM,WN1952,St. Louis (STL),Southwest Airlines,B738 (N8658A),Landed 10:12 PM
ATL,"Wednesday, January 26, 2022",10:39 PM,DL4680,Atlanta (ATL),Delta Connection,CRJ9 (N183GJ),Landed 10:15 PM
